"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "HTML", "SCSS", "JavaScript JSX", "JSON", "comment", "blank", "total"
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\dashboardProjects\DashboardProjects.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\dashboardProjects\dashboardProjects.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\dashboardTasks\DashboardTasks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\dashboardTasks\dashboardTasks.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\login\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\login\login.scss", "SCSS", 0, 0, 0, 0, 28, 0, 0, 0, 4, 32
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\priceGenerator\PriceGenerator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 868, 0, 29, 60, 957
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\priceGenerator\priceGenerator.scss", "SCSS", 0, 0, 0, 0, 231, 0, 0, 0, 61, 292
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\priceOffer\PriceOffer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 674, 0, 6, 60, 740
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\priceOffer\priceOffer.scss", "SCSS", 0, 0, 0, 0, 510, 0, 0, 0, 65, 575
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\projectPage\ProjectPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 20, 119
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\projectPage\projectPage.scss", "SCSS", 0, 0, 0, 0, 157, 0, 0, 0, 39, 196
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\projects\Projects.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 139, 0, 0, 25, 164
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\projects\projects.scss", "SCSS", 0, 0, 0, 0, 113, 0, 0, 0, 20, 133
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\tasks\Tasks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\tasks\tasks.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 8, 1707, 38, 25, 3335, 4605, 29125, 184, 1535, 40562
